
time,bias,peak
34747,0.34375,0.6386719
34818,0.34375,0.63964844
34888,0.34375,0.6357422
34959,0.34375,0.6347656
35030,0.34375,0.62890625
35100,0.34375,0.6376953
35171,0.34375,0.6386719
35242,0.34375,0.63183594
35312,0.34375,0.6376953
35383,0.34375,0.6308594
35454,0.34375,0.6425781
35526,0.34375,0.63964844
35596,0.34375,0.63183594
35667,0.34375,0.6347656
35738,0.34375,0.63378906
35809,0.34375,0.6376953
35880,0.34375,0.63183594
35950,0.34375,0.64746094
36021,0.34375,0.63378906
36092,0.34375,0.6435547
36163,0.34375,0.63671875
36233,0.34375,0.6425781
36304,0.34375,0.6484375
36375,0.34375,0.6435547
36446,0.34375,0.6386719
36516,0.34375,0.6328125
36588,0.34375,0.6269531
36658,0.34375,0.64160156
36730,0.34375,0.63964844
36800,0.34375,0.64160156
36871,0.34375,0.6308594
36942,0.34375,0.6298828
37013,0.375,0.63183594
37085,0.40625,0.63183594
37156,0.34375,0.6376953
37227,0.34375,0.6425781
37297,0.375,0.64160156
37367,0.34375,0.6376953
37438,0.34375,0.6347656
37509,0.34375,0.6464844
37580,0.40625,0.6298828
37651,0.34375,0.63671875
37722,0.40625,0.6347656
37793,0.34375,0.640625
37864,0.34375,0.6347656
37935,0.40625,0.6308594
38006,0.375,0.6328125
38076,0.375,0.6386719
38147,0.34375,0.6298828
38218,0.34375,0.6455078
38289,0.34375,0.6357422
38360,0.34375,0.6328125
38431,0.34375,0.6347656
38501,0.40625,0.62402344
38572,0.40625,0.6455078
38643,0.46875,0.62109375
38714,0.46875,0.63183594
38785,0.53125,0.6113281
38856,0.53125,0.5957031
38927,0.53125,0.58691406
38997,0.53125,0.5917969
39068,0.59375,0.54785156
39139,0.59375,0.5566406
39210,0.59375,0.5517578
39281,0.53125,0.6035156
39352,0.53125,0.61816406
39423,0.53125,0.6201172
39494,0.46875,0.6298828
39565,0.53125,0.62597656
39635,0.53125,0.62597656
39707,0.53125,0.6269531
39777,0.53125,0.625
39847,0.53125,0.6220703
39918,0.53125,0.6201172
39989,0.53125,0.625
40061,0.53125,0.6074219
40132,0.53125,0.6191406
40203,0.53125,0.59472656
40274,0.59375,0.578125
40346,0.59375,0.578125
40417,0.5625,0.5830078
40488,0.5625,0.5830078
40559,0.5625,0.59277344
40630,0.53125,0.6171875
40701,0.53125,0.625
40772,0.53125,0.62402344
40843,0.53125,0.5996094
40913,0.53125,0.62109375
40984,0.53125,0.578125
41054,0.5625,0.5654297
41125,0.5,0.56933594
41196,0.53125,0.61035156
41266,0.53125,0.60253906
41336,0.59375,0.5566406
41408,0.625,0.53515625
41479,0.65625,0.53027344
41549,0.65625,0.53515625
41619,0.65625,0.5517578
41691,0.71875,0.49023438
41762,0.8125,0.43066406
41833,0.78125,0.45410156
41904,0.8125,0.44433594
41975,0.65625,0.4892578
42046,0.6875,0.53222656
42117,0.65625,0.46972656
42187,0.78125,0.47851562
42259,0.71875,0.47070312
42330,0.78125,0.46972656
42401,0.71875,0.45117188
42471,0.78125,0.4423828
42543,0.78125,0.4560547
42614,0.71875,0.4453125
42685,0.6875,0.4658203
42756,0.78125,0.47851562
42828,0.65625,0.5332031
42898,0.65625,0.5361328
42969,0.65625,0.5517578
43040,0.65625,0.5361328
43112,0.71875,0.52246094
43182,0.75,0.5078125
